auth.audit_log_entries | audit_log_entries_pkey | CREATE UNIQUE INDEX audit_log_entries_pkey ON auth.audit_log_entries USING btree (id)
public.linkedin_profiles_new | linkedin_profiles_new_profile_url_key | CREATE UNIQUE INDEX linkedin_profiles_new_profile_url_key ON public.linkedin_profiles_new USING btree (profile_url)
public.profiles | idx_profiles_career_mode | CREATE INDEX idx_profiles_career_mode ON public.profiles USING btree (career_mode)
public.profiles | idx_profiles_onboarding | CREATE INDEX idx_profiles_onboarding ON public.profiles USING btree (onboarding_completed) WHERE (onboarding_completed = false)
public.profiles | profiles_email_key | CREATE UNIQUE INDEX profiles_email_key ON public.profiles USING btree (email)
public.profiles | profiles_pkey | CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)
public.promo_code_usage | idx_promo_code_usage_applied_at | CREATE INDEX idx_promo_code_usage_applied_at ON public.promo_code_usage USING btree (applied_at)
public.promo_code_usage | idx_promo_code_usage_code | CREATE INDEX idx_promo_code_usage_code ON public.promo_code_usage USING btree (code)
public.promo_code_usage | idx_promo_code_usage_user_id | CREATE INDEX idx_promo_code_usage_user_id ON public.promo_code_usage USING btree (user_id)
public.promo_code_usage | promo_code_usage_pkey | CREATE UNIQUE INDEX promo_code_usage_pkey ON public.promo_code_usage USING btree (id)
public.promo_codes | idx_promo_codes_active | CREATE INDEX idx_promo_codes_active ON public.promo_codes USING btree (active, expires_at)
public.promo_codes | idx_promo_codes_applicable_plans | CREATE INDEX idx_promo_codes_applicable_plans ON public.promo_codes USING gin (applicable_plans)
public.promo_codes | idx_promo_codes_code | CREATE INDEX idx_promo_codes_code ON public.promo_codes USING btree (code) WHERE (active = true)
public.promo_codes | idx_promo_codes_welcome_offer | CREATE INDEX idx_promo_codes_welcome_offer ON public.promo_codes USING btree (is_welcome_offer) WHERE ((is_welcome_offer = true) AND (active = true))
public.promo_codes | promo_codes_code_key | CREATE UNIQUE INDEX promo_codes_code_key ON public.promo_codes USING btree (code)
public.promo_codes | promo_codes_pkey | CREATE UNIQUE INDEX promo_codes_pkey ON public.promo_codes USING btree (id)
public.resume_analysis | idx_resume_analysis_user_resume_id | CREATE INDEX idx_resume_analysis_user_resume_id ON public.resume_analysis USING btree (user_resume_id)
public.resume_analysis | resume_analysis_pkey | CREATE UNIQUE INDEX resume_analysis_pkey ON public.resume_analysis USING btree (id)
public.roasts | idx_roasts_browser_fingerprint | CREATE INDEX idx_roasts_browser_fingerprint ON public.roasts USING btree (browser_fingerprint)
public.roasts | idx_roasts_created_at | CREATE INDEX idx_roasts_created_at ON public.roasts USING btree (created_at DESC)
public.roasts | idx_roasts_expires_at | CREATE INDEX idx_roasts_expires_at ON public.roasts USING btree (expires_at)
public.roasts | idx_roasts_ip_hash | CREATE INDEX idx_roasts_ip_hash ON public.roasts USING btree (ip_hash)
public.roasts | idx_roasts_shareable_id | CREATE INDEX idx_roasts_shareable_id ON public.roasts USING btree (shareable_id)
public.roasts | idx_roasts_user_id | CREATE INDEX idx_roasts_user_id ON public.roasts USING btree (user_id)
public.roasts | roasts_pkey | CREATE UNIQUE INDEX roasts_pkey ON public.roasts USING btree (id)
public.roasts | roasts_shareable_id_key | CREATE UNIQUE INDEX roasts_shareable_id_key ON public.roasts USING btree (shareable_id)
public.scheduled_notifications | idx_scheduled_notifications_pending | CREATE INDEX idx_scheduled_notifications_pending ON public.scheduled_notifications USING btree (scheduled_for, status) WHERE (status = 'pending'::text)
public.scheduled_notifications | idx_scheduled_notifications_user | CREATE INDEX idx_scheduled_notifications_user ON public.scheduled_notifications USING btree (user_id)
public.scheduled_notifications | scheduled_notifications_pkey | CREATE UNIQUE INDEX scheduled_notifications_pkey ON public.scheduled_notifications USING btree (id)
public.stock_prices | stock_prices_pkey | CREATE UNIQUE INDEX stock_prices_pkey ON public.stock_prices USING btree (ticker)
public.subscription_plans | idx_subscription_plans_active | CREATE INDEX idx_subscription_plans_active ON public.subscription_plans USING btree (is_active) WHERE (is_active = true)
public.subscription_plans | idx_subscription_plans_monthly_price | CREATE INDEX idx_subscription_plans_monthly_price ON public.subscription_plans USING btree (stripe_monthly_price_id)
public.subscription_plans | idx_subscription_plans_yearly_price | CREATE INDEX idx_subscription_plans_yearly_price ON public.subscription_plans USING btree (stripe_yearly_price_id)
public.subscription_plans | subscription_plans_pkey | CREATE UNIQUE INDEX subscription_plans_pkey ON public.subscription_plans USING btree (id)
public.tailored_resumes | tailored_resumes_application_unique | CREATE UNIQUE INDEX tailored_resumes_application_unique ON public.tailored_resumes USING btree (user_id, application_id)
public.tailored_resumes | tailored_resumes_pkey | CREATE UNIQUE INDEX tailored_resumes_pkey ON public.tailored_resumes USING btree (id)
public.tailored_resumes | tailored_resumes_user_idx | CREATE INDEX tailored_resumes_user_idx ON public.tailored_resumes USING btree (user_id, created_at DESC)
public.trial_history | trial_history_pkey | CREATE UNIQUE INDEX trial_history_pkey ON public.trial_history USING btree (id)
public.trial_history | trial_history_user_id_key | CREATE UNIQUE INDEX trial_history_user_id_key ON public.trial_history USING btree (user_id)
public.usage_tracking | idx_usage_tracking_user_id | CREATE INDEX idx_usage_tracking_user_id ON public.usage_tracking USING btree (user_id)
public.usage_tracking | unique_user_usage | CREATE UNIQUE INDEX unique_user_usage ON public.usage_tracking USING btree (user_id)
public.usage_tracking | usage_tracking_pkey | CREATE UNIQUE INDEX usage_tracking_pkey ON public.usage_tracking USING btree (id)
public.user_announcements | idx_user_announcements_user_id | CREATE INDEX idx_user_announcements_user_id ON public.user_announcements USING btree (user_id)
public.user_announcements | user_announcements_pkey | CREATE UNIQUE INDEX user_announcements_pkey ON public.user_announcements USING btree (id)
public.user_announcements | user_announcements_user_id_announcement_id_key | CREATE UNIQUE INDEX user_announcements_user_id_announcement_id_key ON public.user_announcements USING btree (user_id, announcement_id)
public.user_onboarding | idx_user_onboarding_completed | CREATE INDEX idx_user_onboarding_completed ON public.user_onboarding USING btree (user_id, completed_at)
public.user_onboarding | idx_user_onboarding_flow_id | CREATE INDEX idx_user_onboarding_flow_id ON public.user_onboarding USING btree (flow_id)
public.user_onboarding | idx_user_onboarding_user_id | CREATE INDEX idx_user_onboarding_user_id ON public.user_onboarding USING btree (user_id)
public.user_onboarding | user_onboarding_pkey | CREATE UNIQUE INDEX user_onboarding_pkey ON public.user_onboarding USING btree (id)
public.user_onboarding | user_onboarding_user_id_flow_id_key | CREATE UNIQUE INDEX user_onboarding_user_id_flow_id_key ON public.user_onboarding USING btree (user_id, flow_id)
public.user_onboarding_preferences | user_onboarding_preferences_pkey | CREATE UNIQUE INDEX user_onboarding_preferences_pkey ON public.user_onboarding_preferences USING btree (user_id)
public.user_resumes | idx_user_resumes_one_default_per_user | CREATE UNIQUE INDEX idx_user_resumes_one_default_per_user ON public.user_resumes USING btree (user_id) WHERE (is_default = true)
public.user_resumes | idx_user_resumes_user_display_order | CREATE UNIQUE INDEX idx_user_resumes_user_display_order ON public.user_resumes USING btree (user_id, display_order)
public.user_resumes | idx_user_resumes_user_id_default | CREATE INDEX idx_user_resumes_user_id_default ON public.user_resumes USING btree (user_id, is_default)
public.user_resumes | idx_user_resumes_user_id_is_default | CREATE INDEX idx_user_resumes_user_id_is_default ON public.user_resumes USING btree (user_id, is_default) WHERE (is_default = true)
public.user_resumes | idx_user_resumes_user_id_order | CREATE INDEX idx_user_resumes_user_id_order ON public.user_resumes USING btree (user_id, display_order)
public.user_resumes | user_resumes_pkey | CREATE UNIQUE INDEX user_resumes_pkey ON public.user_resumes USING btree (id)
public.user_subscriptions | idx_user_subscriptions_status | CREATE INDEX idx_user_subscriptions_status ON public.user_subscriptions USING btree (status)
public.user_subscriptions | idx_user_subscriptions_user_active | CREATE UNIQUE INDEX idx_user_subscriptions_user_active ON public.user_subscriptions USING btree (user_id) WHERE (status = 'active'::text)
public.user_subscriptions | idx_user_subscriptions_user_id | CREATE INDEX idx_user_subscriptions_user_id ON public.user_subscriptions USING btree (user_id)
public.user_subscriptions | user_subscriptions_pkey | CREATE UNIQUE INDEX user_subscriptions_pkey ON public.user_subscriptions USING btree (id)
public.weekly_recaps | weekly_recaps_pkey | CREATE UNIQUE INDEX weekly_recaps_pkey ON public.weekly_recaps USING btree (id)
public.weekly_recaps | weekly_recaps_user_id_week_start_key | CREATE UNIQUE INDEX weekly_recaps_user_id_week_start_key ON public.weekly_recaps USING btree (user_id, week_start)
public.weekly_recaps | weekly_recaps_user_idx | CREATE INDEX weekly_recaps_user_idx ON public.weekly_recaps USING btree (user_id, week_start DESC)
public.wins | wins_pkey | CREATE UNIQUE INDEX wins_pkey ON public.wins USING btree (id)
public.wins | wins_user_created_idx | CREATE INDEX wins_user_created_idx ON public.wins USING btree (user_id, created_at DESC)
