cron.job | cron_job_policy | (username = CURRENT_USER)
public.user_subscriptions | Users can update own subscription | (auth.uid() = user_id)
public.user_subscriptions | Users can view own subscription | (auth.uid() = user_id)
storage.objects | Users can delete their own resumes | ((bucket_id = 'resumes'::text) AND ((auth.uid())::text = (storage.foldername(name))[1]))
storage.objects | Users can update their own resumes | ((bucket_id = 'resumes'::text) AND ((auth.uid())::text = (storage.foldername(name))[1]))
storage.objects | Users can upload resumes to their own folder | -
storage.objects | Users can view their own resumes | ((bucket_id = 'resumes'::text) AND ((auth.uid())::text = (storage.foldername(name))[1]))
storage.objects | allow all i5g8va_0 | (bucket_id = 'resumes'::text)
storage.objects | allow all i5g8va_1 | -
storage.objects | allow all i5g8va_2 | (bucket_id = 'resumes'::text)
storage.objects | allow all i5g8va_3 | (bucket_id = 'resumes'::text)
